0|256|-500|0
-1|256|-500|0
-545|342.2826|215.3623|0
15|341.8268|215.6113|0
16|341.5534|215.7725|0
17|341.4622|215.8604|0
16|341.4167|215.8604|0
17|341.2344|215.8604|0
16|341.2344|215.4502|0
9|341.2344|215.2012|5
8|341.2344|214.8789|5
17|341.2344|214.293|5
17|341.3255|213.9707|5
14|341.5534|213.5605|0
2|341.5534|213.5605|0
17|341.8268|213.0771|10
17|342.0547|212.7402|10
16|342.1458|212.5791|10
17|342.2826|212.3301|10
17|342.4648|212.0078|10
16|342.6471|211.7588|10
13|342.7838|211.5098|0
4|342.7838|211.5098|0
17|343.1029|211.0996|0
12|343.194|210.9385|5
4|343.194|210.9385|5
17|343.3763|210.7773|5
17|343.513|210.5283|5
16|343.6953|210.2793|5
9|343.7865|209.8691|0
8|343.7865|209.6348|0
17|343.832|209.3857|0
16|344.1055|209.1367|0
17|344.5156|208.7266|0
16|344.6523|208.6533|0
17|344.7435|208.5654|0
17|344.7435|208.5654|0
17|344.7435|208.5654|0
5|344.7435|208.5654|5
11|344.7435|208.5654|5
17|344.7435|208.5654|5
15|344.6068|208.5654|5
0|344.4245|208.5654|0
0|344.4245|208.5654|0
2|344.4245|208.5654|0
16|344.4245|208.5654|0
5|344.4245|208.5654|10
10|344.4245|208.4043|10
19|344.4245|208.2432|10
16|344.3333|208.2432|10
15|344.3333|208.2432|10
19|344.3333|208.2432|10
7|344.3333|208.2432|0
9|344.3333|208.3164|0
15|344.3333|208.3164|0
19|344.2422|208.3164|5
16|344.0143|208.3164|5
15|343.832|208.3164|5
19|343.6953|208.3164|5
15|343.513|208.3164|0
1|343.513|208.3164|0
15|343.194|208.5654|0
5|343.194|208.5654|10
14|342.9662|208.8145|10
16|342.7838|208.8877|10
15|342.556|209.0635|10
14|342.3737|209.2246|0
5|342.3737|209.2246|0
17|342.0547|209.3857|0
14|341.7357|209.459|0
19|341.4167|209.708|0
16|340.8242|210.1182|0
15|340.1862|210.2793|0
19|338.7734|210.6162|0
17|337.9531|210.6895|0
14|337.224|210.9385|0
19|336.2213|211.0264|0
16|335.8112|211.0996|0
15|335.401|211.3486|0
19|334.9909|211.5098|0
16|334.2617|211.9199|0
15|333.8516|212.1689|0
19|333.4414|212.4912|0
16|333.0313|212.9893|0
15|332.6211|213.5605|0
19|332.0742|213.9707|0
16|331.5729|214.2197|0
15|330.9805|214.4688|0
19|330.7526|214.4688|0
15|330.5247|214.4688|0
16|330.3424|214.4688|0
19|329.8412|214.4688|0
16|329.7044|214.4688|0
15|329.431|214.4688|0
18|329.0208|214.4688|0
17|328.7018|214.4688|0
15|328.3828|214.4688|0
18|328.0638|214.4688|0
17|327.1523|214.8789|0
15|325.7396|215.4502|0
18|323.9622|216.1826|0
18|321.5013|217.3252|0
14|318.0378|218.8047|0
19|313.9362|220.5186|0
16|307.3281|223.8877|0
15|304.0469|225.7627|0
19|302.4063|226.9199|0
17|301.9961|227.5645|0
14|301.9961|228.2236|0
19|301.9049|229.8643|0
16|301.4948|231.0947|0
15|300.6289|231.915|0
19|297.7578|232.3984|0
16|290.9219|232.2373|0
15|276.7943|228.8828|0
19|256.1953|222.3203|0
17|220.6029|211.7588|0
14|193.487|204.2295|0
19|163.181|193.1699|0
17|131.3255|177.5254|0
14|105.1667|162.3643|0
19|89.6263|153.6045|0
17|78.46094|151.1436|0
14|74.45052|151.8906|0
7|73.12891|151.8906|5
12|72.17188|151.3047|5
16|71.67057|146.9688|5
15|73.94922|140.4209|5
19|82.33463|130.5039|5
16|89.03385|125.7578|5
15|94.95834|122.5645|5
19|103.0247|119.4443|5
16|109.4505|117.3936|5
15|117.7904|115.4307|5
19|127.862|113.5557|5
16|140.7135|110.7725|5
15|144.8151|109.7764|5
19|146.4557|109.3809|5
17|147.595|108.7949|5
14|149.099|107.6523|5
19|151.0586|106.3486|5
17|155.2969|104.8691|5
14|159.0794|104.3711|5
18|163.7279|104.2979|5
17|168.9688|104.2979|5
15|173.9818|104.3711|5
19|180.4531|105.6895|5
17|183.8711|106.9932|5
14|187.2435|108.3848|5
19|192.3932|109.6152|5
15|195.7656|110.3623|5
16|199.2747|111.3438|5
19|202.8294|112.7354|5
17|206.3385|114.5371|5
14|210.5768|117.5693|5
18|212.6276|119.6934|5
17|214.5872|121.7441|5
15|216.4102|123.3848|5
19|217.7773|125.0254|5
16|218.9622|126.9004|5
15|220.3294|130.1816|5
19|221.013|132.5547|5
16|221.5599|134.8545|5
15|222.2435|138.1211|5
18|222.4714|140.582|5
1|222.4714|140.582|5
17|222.6536|143.2773|5
14|223.0182|146.3975|5
19|224.2031|152.0518|5
16|225.4336|156.6367|5
15|226.2539|162.2031|5
18|226.4818|169.0879|5
17|226.1628|177.3643|5
15|223.6107|188.9951|5
19|221.2409|194.8838|5
16|219.1901|199.5566|5
15|217.7318|203.4092|5
18|216.0911|206.8516|5
18|212.0807|211.7588|5
14|207.4779|215.2012|5
19|201.3255|219.127|5
16|194.3073|223.7998|5
15|187.0612|228.7949|5
